Month,Halo: (United States),Call of Duty: (United States)
2012-01,22,33
2012-02,20,28
2012-03,21,26
2012-04,24,27
2012-05,22,28
2012-06,28,24
2012-07,26,25
2012-08,25,24
2012-09,25,21
2012-10,41,21
2012-11,100,52
2012-12,47,34
2013-01,28,28
2013-02,23,25
2013-03,18,22
2013-04,17,25
2013-05,18,34
2013-06,21,26
2013-07,19,27
2013-08,17,32
2013-09,14,24
2013-10,15,27
2013-11,15,85
2013-12,17,45
2014-01,14,38
2014-02,14,30
2014-03,13,28
2014-04,13,26
2014-05,16,31
2014-06,19,25
2014-07,18,24
2014-08,17,27
2014-09,15,20
2014-10,16,24
2014-11,34,60
2014-12,25,36
2015-01,18,30
2015-02,14,25
2015-03,18,23
2015-04,18,25
2015-05,16,21
2015-06,19,22
2015-07,17,24
2015-08,18,26
2015-09,18,17
2015-10,45,19
2015-11,36,43
2015-12,24,32
2016-01,19,25
2016-02,17,24
2016-03,15,22
2016-04,14,21
2016-05,15,28
2016-06,16,20
2016-07,14,18
2016-08,12,17
2016-09,13,19
2016-10,13,22
2016-11,12,31
2016-12,14,23
2017-01,12,17
2017-02,15,16
2017-03,12,15
2017-04,11,24
2017-05,11,19
2017-06,11,18
2017-07,11,18
2017-08,10,21
2017-09,9,17
2017-10,10,18
2017-11,10,76
2017-12,10,39
2018-01,10,27
2018-02,10,20
2018-03,11,18
2018-04,11,15
2018-05,11,16
2018-06,13,15
2018-07,10,14
2018-08,10,16
2018-09,10,18
2018-10,10,29
2018-11,9,20
2018-12,10,19
2019-01,10,15
2019-02,10,12
2019-03,13,14
2019-04,10,11
2019-05,10,14
2019-06,12,15
2019-07,10,13
2019-08,9,18
2019-09,9,24
2019-10,9,47
2019-11,10,42
2019-12,20,34
2020-01,10,26
2020-02,9,26
2020-03,10,43
2020-04,11,51
2020-05,12,45
2020-06,12,43
2020-07,20,32
2020-08,15,46
2020-09,11,37
2020-10,12,37
2020-11,12,55
2020-12,14,42
2021-01,11,32
2021-02,12,33
2021-03,11,27
2021-04,11,27
2021-05,9,23
2021-06,14,23
2021-07,17,24
2021-08,16,29
2021-09,15,22
2021-10,15,22
2021-11,48,35
2021-12,61,25
2022-01,27,21
2022-02,18,19
2022-03,14,17
